"year";"month";"day"
2018;5;10
2013;6;7
2014;5;14
2015;5;8
2019;6;2
2017;5;13
2016;6;4
2016;6;11
2016;6;11
2012;5;14
1978;6;27
2013;6;2
2013;6;15
2010;5;26
2014;5;13
2020;4;24
2020;5;15
2020;5;18
2019;5;10
2019;5;25
2019;5;25
2019;5;25
2019;5;25
2019;5;22
2021;5;16
2021;5;24
2021;5;27
2021;6;6
2021;6;5
2014;5;25
2014;5;25
2008;6;6
2010;5;12
2010;5;27
2018;5;19
2018;5;24
2014;5;23
2014;5;30
2014;5;5
2014;5;16
2018;5;30
2018;5;31
2015;5;14
1984;6;12
2017;5;13
2010;5;26
2018;5;28
2017;5;25
2018;5;23
2009;5;7
2019;5;25
2019;5;25
2019;5;22
2017;5;21
2021;5;24
2021;5;24
2021;6;2
2021;6;3
2014;5;25
2010;5;15
2010;5;22
2010;5;28
2014;5;5
2016;5;25
2014;6;7
2015;5;14
2014;4;24
2016;6;4
2016;6;11
2012;5;26
2013;5;30
2020;5;31
2013;6;15
2020;4;24
2019;5;25
2019;5;25
2019;5;25
2015;6;10
2021;5;15
2021;5;16
2021;5;14
2021;5;16
2021;5;16
2021;5;27
2021;5;15
2021;5;30
2021;6;3
2021;6;4
2021;5;25
2021;6;7
2014;5;25
2009;5;16
2009;5;24
2010;5;4
2019;7;6
2014;5;21
2014;5;29
2015;5;12
2016;5;17
2016;5;17
2016;5;21
2016;6;18
2012;5;27
2012;5;20
2018;5;13
2017;5;14
2020;5;20
2006;6;3
2020;5;3
2020;5;6
2020;5;20
2019;5;25
2019;5;31
2019;6;2
2021;5;4
2021;5;13
2021;5;13
2021;5;24
2021;6;2
2021;6;2
2021;6;3
2021;6;4
2021;6;4
2021;6;8
2021;6;8
2021;6;9
2021;6;8
2008;5;28
2014;5;25
1992;6;16
2009;6;1
2005;5;17
2008;6;6
2018;5;12
2014;5;21
2015;5;30
2017;5;5
2016;5;21
2016;6;11
2016;6;18
2017;6;15
2012;5;11
2018;5;21
2020;5;3
2019;5;25
2019;5;25
2019;5;24
2021;5;14
2021;5;19
2021;5;15
2021;5;29
2021;6;1
2021;6;3
2021;6;4
2021;6;4
2021;6;7
2014;5;25
2014;5;25
2014;5;25
1977;6;18
2013;6;12
2018;5;19
2018;5;22
2017;5;20
2012;5;25
2010;5;26
2010;5;26
2003;5;13
2020;5;13
2019;5;25
2019;5;25
2019;5;25
2019;5;25
2019;5;25
2021;5;18
2021;5;27
2021;6;2
2021;6;4
2021;6;3
2021;6;9
2021;6;10
2013;6;2
2014;5;25
2014;5;25
2009;5;22
2008;5;28
2012;5;19
2004;5;29
2014;5;31
1994;5;23
2020;5;22
2015;5;31
2015;5;11
2017;5;23
2015;5;22
2018;5;31
2017;5;25
2016;5;14
2016;5;25
2016;6;4
2016;6;7
2017;5;30
2012;5;13
2010;5;26
2010;5;26
2018;5;10
2019;5;10
2021;5;27
2021;5;29
2021;5;29
2021;6;4
2021;6;8
1990;6;20
2019;5;30
2015;5;27
2017;5;24
2017;5;23
2017;6;4
2016;5;5
2016;5;14
2016;5;17
2016;5;16
2016;6;18
2013;6;11
2010;5;26
2010;5;26
2018;5;21
2020;5;10
2020;5;14
2020;5;22
2014;5;5
2019;5;25
2020;5;30
2020;5;30
2019;5;12
2021;5;21
2021;5;15
2021;5;24
2021;6;2
2021;6;8
2020;5;31
2014;5;25
2014;5;25
2014;5;25
2014;5;25
1981;6;18
2009;5;16
2009;5;16
